countryName,countryCode,incomeGroup,region,GDP,population,landArea,lifeExpecFem,lifeExpecMale
Bolivia,BOL,Lower middle income,Latin America & Caribbean,29702635313.9423,11513100,1083300,73.105,67.6
Bosnia and Herzegovina,BIH,Upper middle income,Europe & Central Asia,20808476283.1073,3301000,51200,79.292,74.376
Botswana,BWA,Upper middle income,Sub-Saharan Africa,18643743999.9747,2303697,566730,70.013,64.458
Brazil,BRA,Upper middle income,Latin America & Caribbean,2347237948499.32,211049527,8358140,78.698,71.345
British Virgin Islands,VGB,High income,Latin America & Caribbean,,30030,150,,
Brunei Darussalam,BRN,High income,East Asia & Pacific,14006979904.6571,433285,5270,76.547,74.175
Bulgaria,BGR,Upper middle income,Europe & Central Asia,63191572277.6213,6975761,108560,78.2,71.2
Burkina Faso,BFA,Low income,Sub-Saharan Africa,16708316591.3587,20321378,273600,60.525,59.183
Burundi,BDI,Low income,Sub-Saharan Africa,2399222284.76422,11530580,25680,61.893,58.325
Cabo Verde,CPV,Lower middle income,Sub-Saharan Africa,2148955357.13617,549935,4030,75.423,68.588
Cambodia,KHM,Lower middle income,East Asia & Pacific,20920953617.9607,16486542,176520,70.61,66.474
Cameroon,CMR,Lower middle income,Sub-Saharan Africa,39288422138.9406,25876380,472710,58.908,56.27
Canada,CAN,High income,North America,1939183469806.34,37589262,9093510,84,79.9
Cayman Islands,CYM,High income,Latin America & Caribbean,,64948,240,,
Central African Republic,CAF,Low income,Sub-Saharan Africa,1822841756.71548,4745185,622980,52.793,48.985
